date, temperature (celsius),precipitation (mm/day),pet (mm/day),flow_observed (mm/day)
1980-01-22,-1.9,2.5,0.39,1.18
1980-01-23,-0.3,0,0.44,1.02
1980-01-24,-1.1,0,0.42,0.66
1980-01-25,-6.1,0,0.31,0.5
1980-01-26,-4.7,0,0.34,0.46
1980-01-27,-4.4,0,0.35,0.4
1980-01-28,-3.3,0,0.37,0.39
1980-01-29,-3.1,0,0.38,0.33
1980-01-30,-4.2,0,0.36,0.28
1980-01-31,-5.6,0,0.33,0.24
1980-02-01,-7.2,0,0.3,0.19
1980-02-02,-9.4,0,0.27,0.2
1980-02-03,-9.4,0,0.27,0.21
1980-02-04,-7.2,0,0.31,0.24
1980-02-05,-6.4,0,0.33,0.27
1980-02-06,-5.6,0,0.34,0.28
1980-02-07,-6.7,0,0.33,0.24
1980-02-08,-2.2,0,0.43,0.25
1980-02-09,-1.9,0,0.44,0.31
1980-02-10,-3.6,0,0.4,0.32
1980-02-11,-4.4,0,0.39,0.28
1980-02-12,-3.1,2.5,0.42,0.27
1980-02-13,-4.2,0,0.4,0.24
1980-02-14,-3.6,0,0.41,0.29
1980-02-15,-1.1,0,0.49,1.1
1980-02-16,0.3,12.7,0.54,1.26
1980-02-17,-4.4,0,0.41,0.64
1980-02-18,-7.8,0,0.33,0.34
1980-02-19,-5.3,0,0.39,0.79
1980-02-20,0,0,0.54,1.02
1980-02-21,1.1,0,0.59,0.87
1980-02-22,5.8,10.2,0.79,1.97
1980-02-23,0.6,0,0.58,1.42
1980-02-24,4.4,0,0.74,0.78
1980-02-25,3.9,0,0.72,0.58
1980-02-26,1.1,0,0.61,0.43
1980-02-27,-5.6,0,0.41,0.34
1980-02-28,-5.6,0,0.41,0.34
1980-02-29,-3.6,0,0.47,0.28
1980-03-01,-11.4,0,0.29,0.24
1980-03-02,-9.4,0,0.33,0.24
1980-03-03,-6.9,0,0.39,0.24
1980-03-04,-3.6,0,0.48,0.01
1980-03-05,1.1,2.5,0.65,0.28
1980-03-06,3.9,0,0.78,0.32
1980-03-07,1.9,0,0.69,0.23
1980-03-08,5,7.6,0.84,1.02
1980-03-09,9.7,0,1.14,1.73
1980-03-10,3.3,17.8,0.77,3.31
1980-03-11,4.4,2.5,0.83,7.87
1980-03-12,-1.7,0,0.57,1.89
1980-03-13,-2.2,0,0.56,1.1
1980-03-14,-2.5,15.2,0.56,2.05
1980-03-15,1.1,0,0.7,3.07
1980-03-16,-0.8,0,0.63,4.88
1980-03-17,1.7,7.6,0.74,10.23
1980-03-18,7.2,5.1,1.05,11.02
1980-03-19,2.5,0,0.79,2.52
1980-03-20,4.4,0,0.89,1.57
1980-03-21,6.1,58.4,1,41.72
1980-03-22,6.7,2.5,1.05,10.23
1980-03-23,1.1,0,0.74,3.38
1980-03-24,5.3,15.2,0.97,3.15
1980-03-25,6.1,7.6,1.03,16.53
1980-03-26,2.2,0,0.81,2.68
1980-03-27,4.4,0,0.94,1.57
1980-03-28,6.1,0,1.05,1.18
1980-03-29,6.1,20.3,1.06,9.45
1980-03-30,8.1,0,1.21,4.8
1980-03-31,7.2,38.1,1.15,20.47
1980-04-01,1.9,0,0.84,15.74
1980-04-02,5.8,0,1.07,3.38
1980-04-03,7.2,0,1.18,1.89
1980-04-04,10.8,17.8,1.49,8.66
1980-04-05,11.7,0,1.58,2.76
1980-04-06,7.5,0,1.23,1.42
1980-04-07,10.3,0,1.47,1.02
1980-04-08,12.8,0,1.73,0.87
1980-04-09,14.2,50.8,1.9,24.4
1980-04-10,10.6,0,1.53,8.66
1980-04-11,13.9,0,1.89,2.44
1980-04-12,10.6,0,1.55,1.65
1980-04-13,15.3,0,2.09,1.26
1980-04-14,11.9,10.2,1.71,3.54
1980-04-15,11.7,2.5,1.7,4.09
1980-04-16,8.9,0,1.44,1.34
1980-04-17,2.5,0,0.97,0.87
1980-04-18,6.7,0,1.27,0.72
1980-04-19,9.7,0,1.54,0.57
1980-04-20,11.9,0,1.77,0.53
1980-04-21,16.4,0,2.36,0.5
1980-04-22,12.8,0,1.9,0.43
1980-04-23,8.3,0,1.45,0.37
1980-04-24,13.9,0,2.06,0.32
1980-04-25,15.6,0,2.3,0.31
1980-04-26,14.2,0,2.12,0.3
1980-04-27,12.2,10.2,1.89,0.87
1980-04-28,10,53.3,1.66,25.98
1980-04-29,8.6,17.8,1.53,17.32
1980-04-30,10,2.5,1.68,3.7
1980-05-01,12.2,0,1.93,2.28
1980-05-02,14.7,0,2.27,1.26
1980-05-03,13.9,0,2.17,0.94
1980-05-04,17.2,0,2.68,0.68
1980-05-05,15.3,2.5,2.39,0.57
1980-05-06,19.7,0,3.16,0.49
1980-05-07,20.8,5.1,3.4,0.68
1980-05-08,17.2,7.6,2.74,2.83
1980-05-09,8.3,0,1.58,0.79
1980-05-10,8.1,0,1.57,0.49
1980-05-11,11.9,0,2,0.43
1980-05-12,14.2,12.7,2.32,1.34
1980-05-13,18.1,12.7,2.96,4.8
1980-05-14,20.3,0,3.41,1.18
1980-05-15,15,0,2.47,0.57
1980-05-16,11.4,0,1.98,0.56
1980-05-17,14.4,0,2.4,0.43
1980-05-18,16.1,2.5,2.68,0.76
1980-05-19,14.4,2.5,2.42,0.37
1980-05-20,20,2.5,3.44,0.27
1980-05-21,17.5,12.7,2.96,1.97
1980-05-22,12.8,0,2.22,0.72
1980-05-23,19.7,0,3.42,0.41
1980-05-24,22.8,0,4.15,0.35
1980-05-25,22.2,0,4.02,0.34
1980-05-26,19.2,0,3.35,0.24
1980-05-27,15.3,0,2.64,0.17
1980-05-28,15.8,0,2.73,0.23
1980-05-29,17.2,0,2.98,0.12
1980-05-30,16.4,0,2.85,0.12
1980-05-31,18.3,0,3.21,0.17
1980-06-01,20.3,0,3.65,0.17
1980-06-02,21.7,10.2,3.99,0.68
1980-06-03,21.9,5.1,4.05,0.54
1980-06-04,21.9,0,4.06,0.23
1980-06-05,15.8,0,2.79,0.12
1980-06-06,16.1,0,2.85,0.09
1980-06-07,17.8,0,3.17,0.24
