date,temperature (celsius),precipitation (mm/day),pet (mm/day),precip_minus_pet (mm/day),flow_observed (mm/day),flow_predicted (mm/day),saturation_deficit_avgs (mm)
1980-01-22,-1.90,2.50,0.39,2.11,1.18,1.48,19.43
1980-01-23,-0.30,0.00,0.44,-0.44,1.02,0.77,20.52
1980-01-24,-1.10,0.00,0.42,-0.42,0.66,0.69,21.50
1980-01-25,-6.10,0.00,0.31,-0.31,0.50,0.62,22.39
1980-01-26,-4.70,0.00,0.34,-0.34,0.46,0.57,23.21
1980-01-27,-4.40,0.00,0.35,-0.35,0.40,0.52,23.96
1980-01-28,-3.30,0.00,0.37,-0.37,0.39,0.49,24.65
1980-01-29,-3.10,0.00,0.38,-0.38,0.33,0.45,25.30
1980-01-30,-4.20,0.00,0.36,-0.36,0.28,0.43,25.91
1980-01-31,-5.60,0.00,0.33,-0.33,0.24,0.40,26.48
1980-02-01,-7.20,0.00,0.30,-0.30,0.19,0.38,27.02
1980-02-02,-9.40,0.00,0.27,-0.27,0.20,0.36,27.53
1980-02-03,-9.40,0.00,0.27,-0.27,0.21,0.34,28.02
1980-02-04,-7.20,0.00,0.31,-0.31,0.24,0.32,28.48
1980-02-05,-6.40,0.00,0.33,-0.33,0.27,0.31,28.93
1980-02-06,-5.60,0.00,0.34,-0.34,0.28,0.30,29.35
1980-02-07,-6.70,0.00,0.33,-0.33,0.24,0.28,29.75
1980-02-08,-2.20,0.00,0.43,-0.43,0.25,0.27,30.14
1980-02-09,-1.90,0.00,0.44,-0.44,0.31,0.26,30.52
1980-02-10,-3.60,0.00,0.40,-0.40,0.32,0.25,30.88
1980-02-11,-4.40,0.00,0.39,-0.39,0.28,0.24,31.23
1980-02-12,-3.10,2.50,0.42,2.08,0.27,0.86,31.16
1980-02-13,-4.20,0.00,0.40,-0.40,0.24,0.24,31.50
1980-02-14,-3.60,0.00,0.41,-0.41,0.29,0.23,31.83
1980-02-15,-1.10,0.00,0.49,-0.49,1.10,0.22,32.14
1980-02-16,0.30,12.70,0.54,12.16,1.26,4.02,27.24
1980-02-17,-4.40,0.00,0.41,-0.41,0.64,0.35,27.74
1980-02-18,-7.80,0.00,0.33,-0.33,0.34,0.33,28.22
1980-02-19,-5.30,0.00,0.39,-0.39,0.79,0.32,28.67
1980-02-20,0.00,0.00,0.54,-0.54,1.02,0.30,29.11
1980-02-21,1.10,0.00,0.59,-0.59,0.87,0.29,29.52
1980-02-22,5.80,10.20,0.79,9.41,1.97,3.38,23.16
1980-02-23,0.60,0.00,0.58,-0.58,1.42,0.53,23.92
1980-02-24,4.40,0.00,0.74,-0.74,0.78,0.49,24.61
1980-02-25,3.90,0.00,0.72,-0.72,0.58,0.46,25.27
1980-02-26,1.10,0.00,0.61,-0.61,0.43,0.43,25.88
1980-02-27,-5.60,0.00,0.41,-0.41,0.34,0.40,26.45
1980-02-28,-5.60,0.00,0.41,-0.41,0.34,0.38,26.99
1980-02-29,-3.60,0.00,0.47,-0.47,0.28,0.36,27.51
1980-03-01,-11.40,0.00,0.29,-0.29,0.24,0.34,27.99
1980-03-02,-9.40,0.00,0.33,-0.33,0.24,0.33,28.46
1980-03-03,-6.90,0.00,0.39,-0.39,0.24,0.31,28.90
1980-03-04,-3.60,0.00,0.48,-0.48,0.01,0.30,29.33
1980-03-05,1.10,2.50,0.65,1.85,0.28,0.84,29.37
1980-03-06,3.90,0.00,0.78,-0.78,0.32,0.28,29.78
1980-03-07,1.90,0.00,0.69,-0.69,0.23,0.27,30.17
1980-03-08,5.00,7.60,0.84,6.76,1.02,2.33,29.23
1980-03-09,9.70,0.00,1.14,-1.14,1.73,0.29,29.64
1980-03-10,3.30,17.80,0.77,17.03,3.31,6.32,15.49
1980-03-11,4.40,2.50,0.83,1.67,7.87,1.81,15.69
1980-03-12,-1.70,0.00,0.57,-0.57,1.89,1.11,17.28
1980-03-13,-2.20,0.00,0.56,-0.56,1.10,0.95,18.64
1980-03-14,-2.50,15.20,0.56,14.64,2.05,6.96,8.79
1980-03-15,1.10,0.00,0.70,-0.70,3.07,2.22,11.96
1980-03-16,-0.80,0.00,0.63,-0.63,4.88,1.62,14.27
1980-03-17,1.70,7.60,0.74,6.86,10.23,4.07,11.61
1980-03-18,7.20,5.10,1.05,4.05,11.02,3.50,10.83
1980-03-19,2.50,0.00,0.79,-0.79,2.52,1.81,13.41
1980-03-20,4.40,0.00,0.89,-0.89,1.57,1.40,15.41
1980-03-21,6.10,58.40,1.00,57.40,41.72,45.64,0.29
1980-03-22,6.70,2.50,1.05,1.45,10.23,6.10,6.93
1980-03-23,1.10,0.00,0.74,-0.74,3.38,2.67,10.75
1980-03-24,5.30,15.20,0.97,14.23,3.15,9.23,4.34
1980-03-25,6.10,7.60,1.03,6.57,16.53,7.26,5.33
1980-03-26,2.20,0.00,0.81,-0.81,2.68,3.14,9.81
1980-03-27,4.40,0.00,0.94,-0.94,1.57,2.00,12.67
1980-03-28,6.10,0.00,1.05,-1.05,1.18,1.50,14.82
1980-03-29,6.10,20.30,1.06,19.24,9.45,10.23,4.76
1980-03-30,8.10,0.00,1.21,-1.21,4.80,3.32,9.50
1980-03-31,7.20,38.10,1.15,36.95,20.47,29.86,0.59
1980-04-01,1.90,0.00,0.84,-0.84,15.74,5.04,7.79
1980-04-02,5.80,0.00,1.07,-1.07,3.38,2.45,11.29
1980-04-03,7.20,0.00,1.18,-1.18,1.89,1.73,13.76
1980-04-04,10.80,17.80,1.49,16.31,8.66,8.66,5.93
1980-04-05,11.70,0.00,1.58,-1.58,2.76,2.95,10.15
1980-04-06,7.50,0.00,1.23,-1.23,1.42,1.94,12.91
1980-04-07,10.30,0.00,1.47,-1.47,1.02,1.47,15.01
1980-04-08,12.80,0.00,1.73,-1.73,0.87,1.19,16.71
1980-04-09,14.20,50.80,1.90,48.90,24.40,33.16,0.23
1980-04-10,10.60,0.00,1.53,-1.53,8.66,5.22,7.69
1980-04-11,13.90,0.00,1.89,-1.89,2.44,2.48,11.23
