date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1980-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.71,5.41,10.11,14.81,19.51,24.21,28.91,33.61,38.31,89.33,89.33,89.33,89.33,89.33
1980-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.51,9.21,13.91,18.61,23.31,28.02,32.72,37.42,88.43,88.43,88.43,88.43,88.43
1980-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.91,5.61,10.31,15.01,19.71,24.41,29.11,33.81,38.51,89.52,89.52,89.52,89.52,89.52
1980-01-25,0.00,0.00,0.00,0.00,0.00,0.00,1.89,6.59,11.29,15.99,20.69,25.39,30.09,34.79,39.49,90.50,90.50,90.50,90.50,90.50
1980-01-26,0.00,0.00,0.00,0.00,0.00,0.00,2.78,7.48,12.18,16.88,21.58,26.28,30.98,35.68,40.38,91.39,91.39,91.39,91.39,91.39
1980-01-27,0.00,0.00,0.00,0.00,0.00,0.00,3.59,8.29,12.99,17.69,22.39,27.09,31.79,36.49,41.19,92.21,92.21,92.21,92.21,92.21
1980-01-28,0.00,0.00,0.00,0.00,0.00,0.00,4.34,9.04,13.74,18.44,23.14,27.84,32.54,37.24,41.94,92.96,92.96,92.96,92.96,92.96
1980-01-29,0.00,0.00,0.00,0.00,0.00,0.33,5.04,9.74,14.44,19.14,23.84,28.54,33.24,37.94,42.64,93.65,93.65,93.65,93.65,93.65
1980-01-30,0.00,0.00,0.00,0.00,0.00,0.98,5.68,10.38,15.08,19.79,24.49,29.19,33.89,38.59,43.29,94.30,94.30,94.30,94.30,94.30
1980-01-31,0.00,0.00,0.00,0.00,0.00,1.59,6.29,10.99,15.69,20.39,25.09,29.79,34.49,39.19,43.89,94.91,94.91,94.91,94.91,94.91
1980-02-01,0.00,0.00,0.00,0.00,0.00,2.16,6.86,11.56,16.27,20.97,25.67,30.37,35.07,39.77,44.47,95.48,95.48,95.48,95.48,95.48
1980-02-02,0.00,0.00,0.00,0.00,0.00,2.70,7.40,12.11,16.81,21.51,26.21,30.91,35.61,40.31,45.01,96.02,96.02,96.02,96.02,96.02
1980-02-03,0.00,0.00,0.00,0.00,0.00,3.22,7.92,12.62,17.32,22.02,26.72,31.42,36.12,40.82,45.52,96.53,96.53,96.53,96.53,96.53
1980-02-04,0.00,0.00,0.00,0.00,0.00,3.70,8.40,13.10,17.80,22.50,27.20,31.90,36.61,41.31,46.01,97.02,97.02,97.02,97.02,97.02
1980-02-05,0.00,0.00,0.00,0.00,0.00,4.17,8.87,13.57,18.27,22.97,27.67,32.37,37.07,41.77,46.47,97.48,97.48,97.48,97.48,97.48
1980-02-06,0.00,0.00,0.00,0.00,0.00,4.61,9.31,14.01,18.71,23.41,28.11,32.81,37.51,42.21,46.91,97.92,97.92,97.92,97.92,97.92
1980-02-07,0.00,0.00,0.00,0.00,0.33,5.03,9.73,14.43,19.13,23.83,28.53,33.23,37.93,42.63,47.33,98.35,98.35,98.35,98.35,98.35
1980-02-08,0.00,0.00,0.00,0.00,0.74,5.44,10.14,14.84,19.54,24.24,28.94,33.64,38.34,43.04,47.74,98.75,98.75,98.75,98.75,98.75
1980-02-09,0.00,0.00,0.00,0.00,1.13,5.83,10.53,15.23,19.93,24.63,29.33,34.03,38.73,43.43,48.13,99.14,99.14,99.14,99.14,99.14
1980-02-10,0.00,0.00,0.00,0.00,1.50,6.20,10.90,15.60,20.30,25.00,29.70,34.40,39.10,43.80,48.50,99.52,99.52,99.52,99.52,99.52
1980-02-11,0.00,0.00,0.00,0.00,1.86,6.56,11.26,15.96,20.66,25.36,30.06,34.76,39.47,44.17,48.87,99.88,99.88,99.88,99.88,99.88
1980-02-12,0.00,0.00,0.00,0.00,2.21,6.91,11.61,16.31,21.01,25.71,30.41,35.11,39.81,44.51,49.21,100.23,100.23,100.23,100.23,100.23
1980-02-13,0.00,0.00,0.00,0.00,2.14,6.84,11.54,16.24,20.94,25.64,30.35,35.05,39.75,44.45,49.15,100.16,100.16,100.16,100.16,100.16
1980-02-14,0.00,0.00,0.00,0.00,2.48,7.18,11.88,16.58,21.28,25.98,30.68,35.38,40.08,44.78,49.48,100.50,100.50,100.50,100.50,100.50
1980-02-15,0.00,0.00,0.00,0.00,2.81,7.51,12.21,16.91,21.61,26.31,31.01,35.71,40.41,45.11,49.81,100.83,100.83,100.83,100.83,100.83
1980-02-16,0.00,0.00,0.00,0.00,3.13,7.83,12.53,17.23,21.93,26.63,31.33,36.03,40.73,45.43,50.13,101.14,101.14,101.14,101.14,101.14
1980-02-17,0.00,0.00,0.00,0.00,0.00,2.92,7.62,12.33,17.03,21.73,26.43,31.13,35.83,40.53,45.23,96.24,96.24,96.24,96.24,96.24
